Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering duration,source,source notes
Embelia australiana,,,,82.12,g/cm2,,,,,,,Gallagher_field_workPHD,
Endiandra discolor,,,,90.5,g/cm2,,,,,,,Gallagher_field_workPHD,
Endiandra discolor,,,,95.02,g/cm2,,,,,,,Gallagher_field_workPHD,
Endiandra sieberi,,,,107.88,g/cm2,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,50.66,g/cm2,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,58.6,g/cm2,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,63.83,g/cm2,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,64.98,g/cm2,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,70.6,g/cm2,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,177.14,g/cm2,,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,71.62,g/cm2,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,60.13,g/cm2,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,72.71,g/cm2,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,77.62,g/cm2,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,82.69,g/cm2,,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,44.24,g/cm2,,,,,,,Gallagher_field_workPHD,
Ficus fraseri,,,,54.4,g/cm2,,,,,,,Gallagher_field_workPHD,
Ficus obliqua,,,,75.7,g/cm2,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,37.65,g/cm2,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,44.59,g/cm2,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,46.08,g/cm2,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,87.48,g/cm2,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,54.69,g/cm2,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,81.52,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,25.51,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,27.02,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,28.55,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,29.23,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,32.32,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,32.74,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,40.91,g/cm2,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,45.85,g/cm2,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,89.1,g/cm2,,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,58.71,g/cm2,,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,65.02,g/cm2,,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,,,,97.5,g/cm2,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,63.1,g/cm2,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,71.29,g/cm2,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,93.99,g/cm2,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,104.02,g/cm2,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,108.58,g/cm2,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,114.69,g/cm2,,,,,,,Gallagher_field_workPHD,
Helicia glabriflora,,,,119.04,g/cm2,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,122,g/m2,,,,,,,AUSTRAITS_dataset_32,
Bursaria incana,,,,,g/m2,,0.74,4,,,,AUSTRAITS_dataset_61,
Castanospermum australe,,,,59.2,g/m2,,,,,,,AUSTRAITS_dataset_32,
Diospyros australis,,,,162,g/m2,,,,,,,AUSTRAITS_dataset_32,
Flindersia schottiana,,,,104.9,g/m2,,,,,,,AUSTRAITS_dataset_32,
Heritiera trifoliolata,,,,81.3,g/m2,,,,,,,AUSTRAITS_dataset_32,
Heritiera trifoliolata,,,,123,g/m2,,,,,,,AUSTRAITS_dataset_32,
Breynia oblongifolia,,,,60,unkown,,,,,,,AUSTRAITS_dataset_30,
Glochidion ferdinandi,,,,74.5,unkown,,,,,,,AUSTRAITS_dataset_30,
Lomandra longifolia,53.576,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Pteridium esculentum,89.68,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Pittosporum undulatum,91.925,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Alphitonia excelsa,94.4,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Grevillea robusta,97.79,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Acmena smithii,104.1,cm2/g,,96.061,g/m2,25.5,,,,,,AUSTRAITS_dataset_32,
Pittosporum undulatum,104.454,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Marsdenia rostrata,110.345,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Pothos longipes,120.048,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Castanospermum australe,123.053,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Ficus coronata,133.364,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Guioa semiglauca,144.17,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Glochidion ferdinandi,148.94,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Eupomatia laurina,169.58,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Pteridium esculentum,179.865,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Elaeocarpus grandis,196.078,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Pittosporum undulatum,200.724,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Rhodamnia rubescens,109.93,cm2/g,,,,,,25,,,,AUSTRAITS_dataset_46,
Acacia fimbriata,8.88,m2/kg,,,,,,6,,17,,AUSTRAITS_dataset_5,
Castanospermum australe,85.536,cm2/g,,,,27.651,,34.8,,,,AUSTRAITS_dataset_67,
Cryptocarya laevigata,114.758,cm2/g,,,,26.815,,4.8,,,,AUSTRAITS_dataset_67,
Smilax australis,11.277,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,12.18,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,12.775,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Calamus muelleri,13.418,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,15.024,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,16.509,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,23.959,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,25.144,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Stephania japonica,25.97,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,26.497,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,28.485,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,30.771,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Hippocratea barbata,38.669,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,39.471,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,47.945,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,49.189,m2/kg,,,,,,,,,,Gallagher_field_workPHD,
Ochna serrulata,20.31,m2/kg,,,,3.26,,2,83.76,,,AUSTRAITS_dataset_10,
Lantana camara,20.82,m2/kg,,,,10.08,,3,23.001,,,AUSTRAITS_dataset_10,
Passiflora edulis,21.6,m2/kg,,,,,,5,11.502,,,AUSTRAITS_dataset_10,
Morinda jasminoides,23.353,m2/kg,,,,10.065,,20,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,23.637,m2/kg,,,,10.377,,,,,,AUSTRAITS_dataset_52,
Pandorea pandorana,24.308,m2/kg,,,,0.209,,0.5,,,,AUSTRAITS_dataset_52,
Stephania japonica,26.1,m2/kg,,,,80,,0,18.581,,,AUSTRAITS_dataset_10,
Morinda jasminoides,26.12,m2/kg,,,,3.33,,1.5,5.445,,,AUSTRAITS_dataset_10,
Parsonsia straminea,26.87,m2/kg,,,,25.3,,10,10.344,,,AUSTRAITS_dataset_10,
Pandorea pandorana,28.62,m2/kg,,,,26.25,,0,5.215,,,AUSTRAITS_dataset_10,
Parsonsia straminea,29.981,m2/kg,,,,6.83,,,,,,AUSTRAITS_dataset_52,
Marsdenia rostrata,30.796,m2/kg,,,,25.548,,1.8,,,,AUSTRAITS_dataset_52,
Clematis aristata,30.88,m2/kg,,,,0.9,,3,2.964,,,AUSTRAITS_dataset_10,
Morinda jasminoides,31.278,m2/kg,,,,4.717,,0.1,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,31.486,m2/kg,,,,19.553,,0.4,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,31.851,m2/kg,,,,9.861,,20,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,37.305,m2/kg,,,,5.126,,1.5,,,,AUSTRAITS_dataset_52,
Geitonoplesium cymosum,40.14,m2/kg,,,,2.82,,3,3.776,,,AUSTRAITS_dataset_10,
Pandorea pandorana,41.995,m2/kg,,,,5.686,,1.6,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,,,10,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,,,,18.2,,,AUSTRAITS_dataset_52,
Araucaria cunninghamii,,,,,,,,,,,,AUSTRAITS_dataset_52,
Backhousia myrtifolia,,,,,,,,10,,,,AUSTRAITS_dataset_52,
Backhousia myrtifolia,,,,,,,,,13.006,,,AUSTRAITS_dataset_52,
Breynia oblongifolia,,,,,,,,2,,,,AUSTRAITS_dataset_52,
Breynia oblongifolia,,,,,,,,,7.828,,,AUSTRAITS_dataset_52,
Callistemon salignus,,,,,,,,6,,,,AUSTRAITS_dataset_52,
Carex appressa,,,,,,,,,1.001,,,AUSTRAITS_dataset_52,
Castanospermum australe,,,,,,,,,7722.17,,,AUSTRAITS_dataset_52,
Castanospermum australe,,,,,,,,,14000,,,AUSTRAITS_dataset_52,
Casuarina cunninghamiana,,,,,,,,25,,,,AUSTRAITS_dataset_52,
Casuarina littoralis,,,,,,,,,3.119,,,AUSTRAITS_dataset_52,
Cayratia clematidea,,,,,,,,,12.31,,,AUSTRAITS_dataset_52,
Cinnamomum camphora,,,,,,,,,77,,,AUSTRAITS_dataset_52,
Cissus hypoglauca,,,,,,,,,38.058,,,AUSTRAITS_dataset_52,
Cissus hypoglauca,,,,,,,,,36.11,,,AUSTRAITS_dataset_52,
Clematis aristata,,,,,,,,,2.964,,,AUSTRAITS_dataset_52,
Clematis aristata,,,,,,,,8,,,,AUSTRAITS_dataset_52,
Clerodendrum floribundum,,,,,,,,13,,,,AUSTRAITS_dataset_52,
Clerodendrum floribundum,,,,,,,,,43.7,,,AUSTRAITS_dataset_52,
Commersonia bartramia,,,,,,,,,13,,,AUSTRAITS_dataset_52,
Cryptocarya glaucescens,,,,,,,,4,,,,AUSTRAITS_dataset_52,
Cryptocarya glaucescens,,,,,,,,25,,,,AUSTRAITS_dataset_52,
Cryptocarya glaucescens,,,,,,,,1.2,,,,AUSTRAITS_dataset_52,
Cupaniopsis anacardioides,,,,,,,,,,,,AUSTRAITS_dataset_52,
Dioscorea transversa,,,,,,,,1.5,,,,AUSTRAITS_dataset_52,
Diospyros australis,,,,,,,,,242.304,,,AUSTRAITS_dataset_52,
Diospyros pentamera,,,,,,,,27.8,,,,AUSTRAITS_dataset_52,
Dysoxylum rufum,,,,,,,,,108.47,,,AUSTRAITS_dataset_52,
Elaeagnus triflora,,,,,,,,,150,,,AUSTRAITS_dataset_52,
Endiandra sieberi,,,,,,,,15,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,15,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,,8.15,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,4.5,,,,AUSTRAITS_dataset_52,
Eupomatia laurina,,,,,,,,10.5,,,,AUSTRAITS_dataset_52,
Ficus coronata,,,,,,,,1.8,,,,AUSTRAITS_dataset_52,
Ficus obliqua,,,,,,,,40,,,,AUSTRAITS_dataset_52,
Ficus opposita,,,,,,,,,0.9,,,AUSTRAITS_dataset_52,
Ficus racemosa,,,,,,,,,0.13,,,AUSTRAITS_dataset_52,
Ficus racemosa,,,,,,,,,,,,AUSTRAITS_dataset_52,
Ficus watkinsiana,,,,,,,,40,,,,AUSTRAITS_dataset_52,
Flagellaria indica,,,,,,,,,,,,AUSTRAITS_dataset_52,
Flagellaria indica,,,,,,,,,,,,AUSTRAITS_dataset_52,
Flagellaria indica,,,,,,,,,,,,AUSTRAITS_dataset_52,
Geitonoplesium cymosum,,,,,,,,0.3,,,,AUSTRAITS_dataset_52,
Glochidion ferdinandi,,,,,,,,6,,,,AUSTRAITS_dataset_52,
Glochidion ferdinandi,,,,,,,,,15.751,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,,,12,,,,AUSTRAITS_dataset_52,
Heritiera trifoliolata,,,,,,,,,110,,,AUSTRAITS_dataset_52,
Hymenosporum flavum,,,,,,,,4,,,,AUSTRAITS_dataset_52,
Legnephora moorei,,,,,,,,,36,,,AUSTRAITS_dataset_52,
Ligustrum lucidum,,,,,,,,,21.379,,,AUSTRAITS_dataset_52,
Ligustrum lucidum,,,,,,,,,16,,,AUSTRAITS_dataset_52,
Ligustrum sinense,,,,,,,,,22.477,,,AUSTRAITS_dataset_52,
Ligustrum sinense,,,,,,,,,11,,,AUSTRAITS_dataset_52,
Lomandra longifolia,,,,,,,,0.7,,,,AUSTRAITS_dataset_52,
Lomandra longifolia,,,,,,,,0.8,,,,AUSTRAITS_dataset_52,
Lomandra longifolia,,,,,,,,0.8,,,,AUSTRAITS_dataset_52,
Lomandra longifolia,,,,,,,,0.8,,,,AUSTRAITS_dataset_52,
Lomandra longifolia,,,,,,,,0.3,,,,AUSTRAITS_dataset_52,
Lomandra longifolia,,,,,,,,1,,,,AUSTRAITS_dataset_52,
Maclura cochinchinensis,,,,,,,,,7.746,,,AUSTRAITS_dataset_52,
Melaleuca quinquenervia,,,,,,,,8,,,,AUSTRAITS_dataset_52,
Melia azedarach,,,,,,,,10,,,,AUSTRAITS_dataset_52,
Melia azedarach,,,,,,,,,530,,,AUSTRAITS_dataset_52,
Melodinus australis,,,,,,,,,65,,,AUSTRAITS_dataset_52,
Melodorum leichhardtii,,,,,,,,,83,,,AUSTRAITS_dataset_52,
Micromelum minutum,,,,,,,,,22,,,AUSTRAITS_dataset_52,
Mischocarpus pyriformis,,,,,,,,19,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,,,,5.445,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,,,,8.4,,,AUSTRAITS_dataset_52,
Neolitsea dealbata,,,,,,,,1.7,,,,AUSTRAITS_dataset_52,
Notelaea longifolia,,,,,,,,3,,,,AUSTRAITS_dataset_52,
Ochna serrulata,,,,,,,,,83.76,,,AUSTRAITS_dataset_52,
Olea paniculata,,,,,,,,,67,,,AUSTRAITS_dataset_52,
Pandorea pandorana,,,,,,,,,5.215,,,AUSTRAITS_dataset_52,
Pararchidendron pruinosum,,,,,,,,,56,,,AUSTRAITS_dataset_52,
Parsonsia straminea,,,,,,,,,10.344,,,AUSTRAITS_dataset_52,
Parsonsia straminea,,,,,,,,,7.8,,,AUSTRAITS_dataset_52,
Passiflora edulis,,,,,,,,,11.502,,,AUSTRAITS_dataset_52,
Passiflora subpeltata,,,,,,,,,88,,,AUSTRAITS_dataset_52,
Pavetta australiensis,,,,,,,,,219,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,,,,,,,,4,,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,,,,,,,,,5.893,,,AUSTRAITS_dataset_52,
Polyscias elegans,,,,,,,,25.7,,,,AUSTRAITS_dataset_52,
Polyscias elegans,,,,,,,,,8.7,,,AUSTRAITS_dataset_52,
Pothos longipes,,,,,,,,,109,,,AUSTRAITS_dataset_52,
Pseudoweinmannia lachnocarpa,,,,,,,,35.2,,,,AUSTRAITS_dataset_52,
Psychotria loniceroides,,,,,,,,,11.994,,,AUSTRAITS_dataset_52,
Pteridium esculentum,,,,,,,,1.6,,,,AUSTRAITS_dataset_52,
Pteridium esculentum,,,,,,,,1.2,,,,AUSTRAITS_dataset_52,
Pteridium esculentum,,,,,,,,0.6,,,,AUSTRAITS_dataset_52,
Rhodamnia rubescens,,,,,,,,25,,,,AUSTRAITS_dataset_52,
Rubus moluccanus,,,,,,,,,0.85,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,,,1,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,,,,0.3,,,AUSTRAITS_dataset_52,
Sarcopteryx stipata,,,,,,,,25,,,,AUSTRAITS_dataset_52,
Schefflera actinophylla,,,,,,,,,9.92,,,AUSTRAITS_dataset_52,
Schefflera actinophylla,,,,,,,,,2.7,,,AUSTRAITS_dataset_52,
Smilax australis,,,,,,,,0.7,,,,AUSTRAITS_dataset_52,
Smilax australis,,,,,,,,0.5,,,,AUSTRAITS_dataset_52,
Smilax australis,,,,,,,,4,,,,AUSTRAITS_dataset_52,
Solanum mauritianum,,,,,,,,,1.03,,,AUSTRAITS_dataset_52,
Solanum seaforthianum,,,,,,,,,2.32,,,AUSTRAITS_dataset_52,
Stephania japonica,,,,,,,,0.1,,,,AUSTRAITS_dataset_52,
Streblus brunonianus,,,,,,,,,12,,,AUSTRAITS_dataset_52,
Synoum glandulosum,,,,,,,,3.8,,,,AUSTRAITS_dataset_52,
Toona ciliata,,,,,,,,,2,,,AUSTRAITS_dataset_52,
Tristaniopsis laurina,,,,,,,,15,,,,AUSTRAITS_dataset_52,
Wikstroemia indica,,,,,,,,1.5,,,,AUSTRAITS_dataset_52,
Acacia bakeri,,,,,,,,,,,sep/oct/nov,NSW flora online ,
Acacia bakeri,,,,,,,0.771,,,,,AUSTRAITS_dataset_34,
Acacia bakeri,,,,,,,,,39.793,,,AUSTRAITS_dataset_53,
Acacia fimbriata,,,,,,,,,,,jul/aug/sep/oct/nov,NSW flora online ,
Acacia fimbriata,,,,,,,,,,35.28,,AUSTRAITS_dataset_17,
Acacia fimbriata,,,,,,,,,,35.28,,AUSTRAITS_dataset_4,
Acacia fimbriata,,,,,,,,,17,,,AUSTRAITS_dataset_53,
Acmena smithii,,,,,,,,20,,,nov/dec/jan/feb,AUSTRAITS_dataset_24,
Acmena smithii,,,,,,,,,,,nov/dec/jan/feb,NSW flora online ,
Acmena smithii,,,,,,,,,,273.956,,AUSTRAITS_dataset_17,
Acmena smithii,,,,,,,,20,,,,AUSTRAITS_dataset_26,
Acmena smithii,,,,,,,0.662,,,,,AUSTRAITS_dataset_33,
Acmena smithii,,,,,,,,,,273.956,,AUSTRAITS_dataset_4,
Acmena smithii,,,,,,,,,173,,,AUSTRAITS_dataset_53,
Acmena smithii,,,,,,,,,360.47,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,,,,,,,,mar/apr/may,NSW flora online ,
Acronychia oblongifolia,,,,,,,,4,,,,AUSTRAITS_dataset_26,
Acronychia oblongifolia,,,,,,,,,2.167,,,AUSTRAITS_dataset_52,
Acronychia oblongifolia,,,,,,,,,15.38,,,Gallagher_field_workPHD,
Ailanthus triphysa,,,,,,,0.375,,,,,AUSTRAITS_dataset_34,
Ailanthus triphysa,,,,,,,0.366,,,,,AUSTRAITS_dataset_34,
Ailanthus triphysa,,,,,,,0.375,,,,,AUSTRAITS_dataset_34,
Ailanthus triphysa,,,,,,,0.375,,,,,AUSTRAITS_dataset_34,
Alangium polyosmoides,,,,,,,,,,,oct/nov/dec/jan/feb/mar/apr,NSW flora online ,
Alangium villosum,,,,,,,0.607,,,,,AUSTRAITS_dataset_34,
Alangium villosum,,,,,,,0.607,,,,,AUSTRAITS_dataset_34,
Alangium villosum,,,,,,,,,191.78,,,Gallagher_field_workPHD,
Alchornea ilicifolia,,,,,,,,,,21.7,,AUSTRAITS_dataset_17,
Alchornea ilicifolia,,,,,,,,,,21.7,,AUSTRAITS_dataset_4,
Alchornea ilicifolia,,,,,,,,,19.5,,,AUSTRAITS_dataset_53,
Alectryon tomentosus,,,,,,,,,,14.1,,AUSTRAITS_dataset_17,
Alectryon tomentosus,,,,,,,,,,14.1,,AUSTRAITS_dataset_4,
Alectryon tomentosus,,,,,,,,,33.89,,,AUSTRAITS_dataset_53,
Alphitonia excelsa,,,,,,,,10,,,dec/jan/feb/mar,AUSTRAITS_dataset_24,
Alphitonia excelsa,,,,,,,,,,24.6,,AUSTRAITS_dataset_17,
Alphitonia excelsa,,,,,,,,,18.2,,,AUSTRAITS_dataset_25,
Alphitonia excelsa,,,,,,,0.575,,,,,AUSTRAITS_dataset_34,
Alphitonia excelsa,,,,,,,0.663,,,,,AUSTRAITS_dataset_34,
Alphitonia excelsa,,,,,,,,,,24.6,,AUSTRAITS_dataset_4,
Alyxia ruscifolia,,,,,,,,,,,sep/oct/nov/dec/jan/feb/mar/apr/may,NSW flora online ,
Alyxia ruscifolia,,,,,,,,,,169.8,,AUSTRAITS_dataset_17,
Alyxia ruscifolia,,,,,,,,,,169.8,,AUSTRAITS_dataset_4,
Alyxia ruscifolia,,,,,,,,,163.774,,,AUSTRAITS_dataset_53,
Aphananthe philippinensis,,,,,,,,,,33.2,,AUSTRAITS_dataset_17,
Aphananthe philippinensis,,,,,,,,,,33.2,,AUSTRAITS_dataset_4,
Aphananthe philippinensis,,,,,,,0.612,,,,,AUSTRAITS_dataset_34,
Aphananthe philippinensis,,,,,,,0.62,,,,,AUSTRAITS_dataset_34,
Aphananthe philippinensis,,,,,,,0.5,,,,,AUSTRAITS_dataset_34,
Aphananthe philippinensis,,,,,,,,,44.108,,,AUSTRAITS_dataset_53,
Aphananthe philippinensis,,,,,,,,,0.1,,,Gallagher_field_workPHD,
Araucaria cunninghamii,,,,,,,0.441,,,,,AUSTRAITS_dataset_34,
Araucaria cunninghamii,,,,,,,0.448,,,,,AUSTRAITS_dataset_34,
Araucaria cunninghamii,,,,,,,0.445,,,,,AUSTRAITS_dataset_34,
Araucaria cunninghamii,,,,,,,0.482,,,,,AUSTRAITS_dataset_34,
Araucaria cunninghamii,,,,,,,0.439,,,,,AUSTRAITS_dataset_34,
Archidendron muellerianum,,,,,,,,,,,nov/dec,NSW flora online ,
Archirhodomyrtus beckleri,,,,,,,,,,,sep/oct/nov,NSW flora online ,
Archirhodomyrtus beckleri,,,,,,,,,1.495,,,AUSTRAITS_dataset_53,
Ardisia crenata,,,,,,,,,221,,,AUSTRAITS_dataset_53,
Argophyllum nullumense,,,,,,,,,,,dec/jan,NSW flora online ,
Aristolochia elegans,,,,,,,,,2.104,,,AUSTRAITS_dataset_53,
Arytera divaricata,,,,,,,0.633,,,,,AUSTRAITS_dataset_34,
Arytera divaricata,,,,,,,0.633,,,,,AUSTRAITS_dataset_34,
Arytera divaricata,,,,,,,,,59.7,,,AUSTRAITS_dataset_53,
Arytera divaricata,,,,,,,,,59.7,,,Gallagher_field_workPHD,
Atalaya salicifolia,,,,,,,0.758,,,,,AUSTRAITS_dataset_34,
Atalaya salicifolia,,,,,,,0.758,,,,,AUSTRAITS_dataset_34,
Atalaya salicifolia,,,,,,,,,33.27,,,AUSTRAITS_dataset_53,
Atractocarpus chartaceus,,,,,,,,,,,aug/sep/oct/nov,NSW flora online ,
Auranticarpa rhombifolia,,,,,,,,,,,sep/oct/nov/dec/jan/feb,NSW flora online ,
Auranticarpa rhombifolia,,,,,,,0.745,,,,,AUSTRAITS_dataset_34,
Auranticarpa rhombifolia,,,,,,,0.613,,,,,AUSTRAITS_dataset_34,
Backhousia myrtifolia,,,,,,,,,,,dec/jan,NSW flora online ,
Backhousia myrtifolia,,,,,,,,10,,,nov/dec,AUSTRAITS_dataset_24,
Backhousia myrtifolia,,,,,,,,10,,,,AUSTRAITS_dataset_26,
Backhousia myrtifolia,,,,,,,0.851,,,,,AUSTRAITS_dataset_34,
Backhousia myrtifolia,,,,,,,0.908,,,,,AUSTRAITS_dataset_34,
Backhousia myrtifolia,,,,,,,,,8.821,,,AUSTRAITS_dataset_53,
Beilschmiedia obtusifolia,,,,,,,0.654,,,,,AUSTRAITS_dataset_34,
Beilschmiedia obtusifolia,,,,,,,0.663,,,,,AUSTRAITS_dataset_34,
Beilschmiedia obtusifolia,,,,,,,0.598,,,,,AUSTRAITS_dataset_34,
Beilschmiedia obtusifolia,,,,,,,,,384,,,Gallagher_field_workPHD,
Breynia oblongifolia,,,,,,,,2,,,oct/nov/dec,AUSTRAITS_dataset_24,
Breynia oblongifolia,,,,,,,,2,,,,AUSTRAITS_dataset_26,
Breynia oblongifolia,,,,,,,,2.4,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,,,1.5,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,,,2,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,,,2.7,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,,,1.8,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,,,1.3,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,,,,5.66,,,AUSTRAITS_dataset_53,
Bridelia exaltata,,,,,,,0.659,,,,,AUSTRAITS_dataset_34,
Bridelia exaltata,,,,,,,0.702,,,,,AUSTRAITS_dataset_34,
Bursaria incana,,,,,,,,,2.712,,,AUSTRAITS_dataset_53,
Calamus muelleri,,,,,,,,,,,dec/jan/feb,NSW flora online ,
Calamus muelleri,,,,,,,,,211.85,,,Gallagher_field_workPHD,
Calamus muelleri,,,,,,,,,676,,,Gallagher_field_workPHD,
Callerya megasperma,,,,,,,,,,,sep/oct/nov,NSW flora online ,
Callerya megasperma,,,,,,,,,,17631.518,,AUSTRAITS_dataset_17,
Callerya megasperma,,,,,,,,,,17631.518,,AUSTRAITS_dataset_4,
Callistemon salignus,,,,,,,,,,,sep/oct/nov,NSW flora online ,
Callistemon salignus,,,,,,,,6,,,sep/oct,AUSTRAITS_dataset_24,
Callistemon salignus,,,,,,,,,,0.024,,AUSTRAITS_dataset_17,
Callistemon salignus,,,,,,,0.839,,,,,AUSTRAITS_dataset_34,
Callistemon salignus,,,,,,,,,,0.024,,AUSTRAITS_dataset_4,
Callistemon viminalis,,,,,,,,,,,sep/oct/nov/dec/janmar,NSW flora online ,
Callistemon viminalis,,,,,,,,,,0.259,,AUSTRAITS_dataset_17,
Callistemon viminalis,,,,,,,0.689,,,,,AUSTRAITS_dataset_34,
Callistemon viminalis,,,,,,,,,,0.259,,AUSTRAITS_dataset_4,
Callistemon viminalis,,,,,,,,,0.352,,,AUSTRAITS_dataset_53,
Canarium australasicum,,,,,,,0.652,,,,,AUSTRAITS_dataset_34,
Canarium australasicum,,,,,,,0.652,,,,,AUSTRAITS_dataset_34,
Canarium australasicum,,,,,,,0.49,,,,,AUSTRAITS_dataset_34,
Canarium australasicum,,,,,,,0.652,,,,,AUSTRAITS_dataset_34,
Canarium australasicum,,,,,,,0.652,,,,,AUSTRAITS_dataset_34,
